alte Barcodes,Seriennummer,Gerät,Typ,Art,Defekt,vorhanden,Bemerkungen
200032,NULL,Mikrofonkabel 10m,Mikrofonkabel,Kabel,0,x,
200033,NULL,Mikrofonkabel 10m,Mikrofonkabel,Kabel,0,x,
200035,NULL,Mikrofonkabel 10m,Mikrofonkabel,Kabel,0,x,
200039,NULL,Mikrofonkabel 10m,Mikrofonkabel,Kabel,0,x,
200043,NULL,Mikrofonkabel 10m,Mikrofonkabel,Kabel,0,x,
200051,NULL,Mikrofonkabel 10m,Mikrofonkabel,Kabel,0,x,
200053,NULL,Mikrofonkabel 10m,Mikrofonkabel,Kabel,0,x,
200054,NULL,Mikrofonkabel 10m,Mikrofonkabel,Kabel,0,x,
200058,NULL,Mikrofonkabel 10m,Mikrofonkabel,Kabel,0,x,
200059,NULL,Mikrofonkabel 10m,Mikrofonkabel,Kabel,0,x,
200063,NULL,Mikrofonkabel 10m,Mikrofonkabel,Kabel,0,x,
200066,NULL,Mikrofonkabel 10m,Mikrofonkabel,Kabel,0,x,
200070,NULL,Mikrofonkabel 10m,Mikrofonkabel,Kabel,0,x,
200072,NULL,Kleintuchel >1m,Mikrofonkabel,Kabel,0,x,
200073,NULL,Kleintuchel >1m,Mikrofonkabel,Kabel,0,x,
200074,NULL,Kleintuchel >1m,Mikrofonkabel,Kabel,0,x,
200077,NULL,Kleintuchel <1m,Mikrofonkabel,Kabel,0,x,
200078,NULL,Mikrofonkabel 10m,Mikrofonkabel,Kabel,0,x,
200079,NULL,Kleintuchel <1m,Mikrofonkabel,Kabel,0,x,
200082,NULL,Kleintuchel <1m,Mikrofonkabel,Kabel,0,x,
200083,NULL,Kleintuchel >1m,Mikrofonkabel,Kabel,0,x,
200086,NULL,XLR m - XLR m,Adapter,Kabel,0,x,
200087,NULL,"Cinch - Klinke 6,3 a",Adapter,Kabel,0,x,
200088,NULL,Kleintuchel >1m,Mikrofonkabel,Kabel,0,x,
200089,NULL,Cinch - BNC 50Ohm,Adapter,Kabel,0,x,
200090,NULL,Cinch - BNC 50Ohm,Adapter,Kabel,0,x,
200111,NULL,Kleintuchel <1m,Mikrofonkabel,Kabel,0,x,
200113,NULL,Mikrofonkabel 10m,Mikrofonkabel,Kabel,0,,
200114,NULL,Mikrofonkabel 10m,Mikrofonkabel,Kabel,0,,
200117,NULL,XLR m - XLR m,Adapter,Kabel,0,,
200125,NULL,XLR w - XLR w,Adapter,Kabel,0,x,
200127,NULL,XLR w - XLR w,Adapter,Kabel,0,x,
200141,NULL,Klinke - Klinke,Adapter,Kabel,0,,
200142,NULL,Klinke - Klinke,Adapter,Kabel,0,,
200143,NULL,Klinke - Klinke,Adapter,Kabel,0,,
200144,NULL,Klinke - Klinke,Adapter,Kabel,0,,
200145,NULL,Klinke - Klinke,Adapter,Kabel,0,,
200147,NULL,Klinke - Klinke,Adapter,Kabel,0,,
200148,NULL,"XLR m - Klinke 6,3 s",Adapter,Kabel,0,,
200150,NULL,"XLR w - Klinke 6,3 s",Adapter,Kabel,0,,
200151,NULL,"XLR m - Klinke 6,3 s",Adapter,Kabel,0,,
200154,NULL,Mikrofonkabel 5m,Mikrofonkabel,Kabel,0,x,
200161,NULL,Mikrofonkabel stereo 18m,Mikrofonkabel,Kabel,0,,
